"";"Attack.category";"Protocol";"Source.IP"
"1";"Reconnaissance";"tcp";"175.45.176.0"
"2";"Exploits";"tcp";"175.45.176.2"
"3";"Exploits";"tcp";"175.45.176.2"
"4";"Exploits";"tcp";"175.45.176.2"
"5";"DoS";"tcp";"175.45.176.0"
"6";"DoS";"tcp";"175.45.176.0"
"7";"Generic";"tcp";"175.45.176.0"
"8";"Exploits";"tcp";"175.45.176.0"
"9";"Exploits";"tcp";"175.45.176.0"
"10";"Exploits";"tcp";"175.45.176.3"
"11";"Exploits";"tcp";"175.45.176.2"
"12";"Exploits";"tcp";"175.45.176.1"
"13";"Exploits";"tcp";"175.45.176.1"
"14";"Exploits";"tcp";"175.45.176.0"
"15";"Exploits";"tcp";"175.45.176.0"
"16";"Reconnaissance";"tcp";"175.45.176.0"
"17";"Exploits";"tcp";"175.45.176.2"
"18";"Exploits";"tcp";"175.45.176.3"
"19";"Exploits";"tcp";"175.45.176.2"
"20";"Exploits";"tcp";"175.45.176.0"
"21";"Reconnaissance";"tcp";"175.45.176.1"
"22";"Reconnaissance";"tcp";"175.45.176.3"
"23";"DoS";"tcp";"175.45.176.1"
"24";"Exploits";"tcp";"175.45.176.3"
"25";"Exploits";"tcp";"175.45.176.3"
"26";"Exploits";"tcp";"175.45.176.1"
"27";"Exploits";"tcp";"175.45.176.0"
"28";"Exploits";"tcp";"175.45.176.1"
"29";"Exploits";"tcp";"175.45.176.0"
"30";"Reconnaissance";"tcp";"175.45.176.3"
"31";"Exploits";"tcp";"175.45.176.0"
"32";"Exploits";"tcp";"175.45.176.3"
"33";"Exploits";"tcp";"175.45.176.0"
"34";"Exploits";"tcp";"175.45.176.3"
"35";"Exploits";"tcp";"175.45.176.2"
"36";"Reconnaissance";"tcp";"175.45.176.1"
"37";"Exploits";"tcp";"175.45.176.1"
"38";"Exploits";"tcp";"175.45.176.3"
"39";"Generic";"tcp";"175.45.176.2"
"40";"DoS";"tcp";"175.45.176.0"
"41";"Exploits";"tcp";"175.45.176.1"
"42";"Exploits";"tcp";"175.45.176.0"
"43";"Exploits";"tcp";"175.45.176.0"
"44";"Exploits";"tcp";"175.45.176.2"
